Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2015-04-09,,,,,,,,,,7,,,,,,4423,
2015-07-07,1053.486139817245,,,,,,,,,,,,,,,,
2015-07-08,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-09,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-10,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-11,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-12,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-13,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-14,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-15,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-16,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-17,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-18,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-19,2068.9501953125,,,,,,,,,,,,,,,,
2015-07-20,2068.9501476763517,,,,,,,,,,,,,,,,
2015-07-21,2446.871791487833,4643.0,37.533992767333984,-122.06954193115234,37.5869026184082,-121.98546600341797,0.9921819545376322,19.25,0.5,3570,115.3037223815918,115.39508056640625,115.21236419677734,,38523268,780246,
2015-07-22,2741.841885019345,,37.5229606628418,-122.07209777832031,37.580718994140625,-121.99810791015625,3.169964780400562,13.25,0.5,9871,,,,,74127952,4237039,1068994
2015-07-23,2297.8812066851124,,37.450836181640625,-122.16370391845703,37.55150604248047,-121.99970245361328,1.873281753285639,22.25,0.5,6616,,,,,74696672,2044869,
2015-07-24,2263.5998490071597,,37.46054458618164,-122.1554946899414,37.570884704589844,-121.97980499267578,0.75,1.0,0.5,4975,,,,,79998192,1692617,
2015-07-25,2572.0434413696244,,37.308998107910156,-122.02152252197266,37.554500579833984,-121.88447570800781,8.332323300225195,27.25,0.5,9183,,,,,68691109,4861975,
